"CW","CLR","SD","D","PLOT"
3.79,0.58,1766.666667,19.5,26
3.545,0.43,1766.666667,8.2,26
2.67,0.66,1766.666667,10,26
3.2,0.57,1766.666667,9,26
4.065,0.36,1766.666667,12.4,26
4.31,0.5,1766.666667,22.5,26
3.67,0.36,1766.666667,9.7,26
5.695,0.77,1766.666667,19.2,26
5.37,0.66,1766.666667,16.3,26
2.745,0.6,1766.666667,3.6,26
2.745,0.37,1766.666667,13.4,26
2.29,0.45,1766.666667,7.1,26
2.53,0.3,1766.666667,11.8,26
1.725,0.48,1766.666667,11.2,26
2.955,0.37,1766.666667,13.7,26
2.525,0.27,1766.666667,5.9,26
2.69,0.46,1766.666667,17.2,26
2.955,0.45,1766.666667,8.9,26
2.725,0.39,1766.666667,11.6,26
1.96,0.26,1766.666667,12.7,26
2.1,0.18,1766.666667,6.9,26
1.995,0.31,1766.666667,13.6,26
2.56,0.24,1766.666667,12.8,26
2.535,0.25,1766.666667,14.2,26
2.855,0.37,1766.666667,6.5,26
2.58,0.26,1766.666667,13.9,26
2.095,0.24,1766.666667,13.2,26
2.195,0.24,1766.666667,17.7,26
1.975,0.32,1766.666667,11.5,26
3.425,0.17,1766.666667,16.3,26
3.11,0.28,1766.666667,13.1,26
2.32,0.32,1766.666667,13.6,26
2.33,0.43,1766.666667,3.5,26
2.475,0.41,1766.666667,12.2,26
1.42,0.23,1766.666667,11.6,26
1.955,0.28,1766.666667,7.5,26
3.28,0.43,1766.666667,15.6,26
2.47,0.33,1766.666667,13.1,26
2.695,0.45,1766.666667,15.7,26
3.985,0.28,1766.666667,20.9,26
2.91,0.39,1766.666667,17.6,26
3.96,0.4,1766.666667,15.4,26
2.48,0.42,1766.666667,12.1,26
3.44,0.34,1766.666667,9.9,26
3.535,0.39,1766.666667,9.7,26
4.705,0.46,1766.666667,20.2,26
2.52,0.53,1766.666667,5.1,26
2.36,0.45,1766.666667,10.6,26
2.315,0.36,1766.666667,11.9,26
2.96,0.29,1766.666667,10.8,26
2.825,0.37,1766.666667,14.3,26
2.63,0.19,1766.666667,9.4,26
2.765,0.43,1766.666667,15.2,26
3.335,0.39,1766.666667,15,26
4.21,0.41,1766.666667,17.6,26
2.65,0.2,1766.666667,8.5,26
1.37,0.59,1766.666667,3.5,26
2.325,0.45,1766.666667,9.1,26
3.39,0.36,1766.666667,13.4,26
2.87,0.59,1766.666667,7.6,26
3.165,0.52,1766.666667,5.7,26
1.905,0.5,1766.666667,3.5,26
3.805,0.53,1766.666667,14.8,26
2.055,0.56,1766.666667,4,26
3.035,0.59,1766.666667,9.6,26
3.95,0.62,1766.666667,18.8,26
3.095,0.75,1766.666667,5.9,26
2.31,0.51,1766.666667,15.6,26
2.3205,0.5,1077.777778,10.1,27
3.0185,0.42,1077.777778,10.7,27
2.9175,0.59,1077.777778,11.2,27
3.482,0.48,1077.777778,13.5,27
4.173,0.54,1077.777778,16.9,27
3.459,0.43,1077.777778,16.1,27
2.585,0.21,1077.777778,7,27
2.7165,0.58,1077.777778,11.7,27
3.364,0.44,1077.777778,14.4,27
3.9825,0.66,1077.777778,15.4,27
2.626,0.59,1077.777778,9.8,27
4.3205,0.7,1077.777778,22.4,27
4.1435,0.44,1077.777778,15.1,27
2.945,0.34,1466.666667,16.3,28
2.92,0.36,1466.666667,15.1,28
3.07,0.54,1466.666667,11.9,28
3.06,0.41,1466.666667,13.4,28
2.33,0.55,1466.666667,8.9,28
2.72,0.46,1466.666667,14,28
3.03,0.62,1466.666667,12,28
2.3,0.44,1466.666667,8.6,28
2.5,0.4,1466.666667,10.8,28
2.7,0.36,1466.666667,6,28
3,0.39,1466.666667,11.7,28
3.25,0.55,1466.666667,19.2,28
2.75,0.5,1466.666667,10.5,28
3.35,0.58,1466.666667,14.6,28
1.55,0.18,1466.666667,4.2,28
2.95,0.47,1466.666667,14.3,28
3.1,0.33,1466.666667,15.5,28
3.15,0.28,1466.666667,13.4,28
3.14,0.46,1466.666667,14.9,28
3.06,0.46,1466.666667,15.9,28
2.315,0.19,1466.666667,8.9,28
2.1,0.44,1466.666667,7.5,28
3.125,0.63,1466.666667,15.1,28
4.04,0.43,1466.666667,16.7,28
3.755,0.53,1466.666667,11.9,28
3.52,0.49,1466.666667,15.1,28
2.77,0.36,1466.666667,11.6,28
2.845,0.41,1466.666667,15.1,28
2.37,0.56,1466.666667,7.2,28
2.27,0.19,1466.666667,7,28
3.32,0.36,1466.666667,22,28
2.52,0.76,1466.666667,4.8,28
2.81,0.03,1466.666667,7,28
2.8,0.44,1466.666667,21.4,28
2.74,0.19,1466.666667,12.8,28
2.405,0.37,1466.666667,9.1,28
2.215,0.41,1466.666667,12.1,28
2.325,0.18,1511.111111,4.1,32
2.48,0.27,1511.111111,6.9,32
2.455,0.39,1511.111111,8.6,32
2.97,0.16,1511.111111,7.1,32
2.32,0.19,1511.111111,7.3,32
2.355,0.29,1511.111111,8.9,32
3.335,0.32,1511.111111,6.1,32
3.65,0.25,1511.111111,8.2,32
3.71,0.33,1511.111111,11.8,32
2.14,0.16,1511.111111,7.2,32
2.68,0.19,1511.111111,11.2,32
2.895,0.61,1511.111111,5.4,32
2.465,0.2,1511.111111,7.8,32
1.835,0.24,1511.111111,5.8,32
2.04,0.71,1511.111111,5.5,32
3.04,0.39,1511.111111,11.7,32
3.58,0.35,1511.111111,11.7,32
3.07,0.4,1511.111111,8.6,32
3,0.35,1511.111111,8.9,32
3.16,0.4,1511.111111,9.7,32
1.99,0.36,1511.111111,4.1,32
3.085,0.41,1511.111111,8.3,32
3.085,0.5,1511.111111,11,32
3.11,0.56,1511.111111,8.7,32
3.035,0.32,1511.111111,10.6,32
2.875,0.26,1511.111111,8.7,32
2.285,0.34,1511.111111,9.9,32
2.755,0.32,1511.111111,9.1,32
2.635,0.23,1511.111111,7.5,32
1.975,0.33,1511.111111,8.5,32
2.22,0.35,1511.111111,6.5,32
1.815,0.14,1511.111111,5.4,32
1.71,0.16,1511.111111,7.7,32
1.97,0.2,1511.111111,9.5,32
1.915,0.45,1511.111111,5.4,32
2.68,0.55,1511.111111,11.1,32
2.02,0.67,1511.111111,5.7,32
2.915,0.5,1511.111111,14.8,32
3.01,0.46,1511.111111,12.2,32
2.845,0.35,1511.111111,13.1,32
3.51,0.4,1511.111111,13.4,32
4.23,0.55,1511.111111,20.9,32
3.125,0.36,1511.111111,11.5,32
2.5,0.39,1511.111111,7.8,32
2.425,0.59,1511.111111,5.8,32
3.155,0.5,1511.111111,13.7,32
3.26,0.41,1511.111111,12.1,32
1.94,0.31,1511.111111,5.4,32
2.47,0.38,1511.111111,9.4,32
2.835,0.42,1511.111111,9.8,32
2.7,0.23,1511.111111,9.6,32
2.94,0.44,1511.111111,10,32
5.02,0.58,1511.111111,28.1,32
3.49,0.4,1511.111111,15.3,32
2.145,0.65,1511.111111,6.3,32
2.2,0.31,1511.111111,16,32
2.48,0.33,1511.111111,20.4,32
3.015,0.42,1511.111111,19.5,32
2.39,0.62,1511.111111,8.7,32
2.07,0.61,1511.111111,6.1,32
3.11,0.69,1511.111111,6.4,32
2.885,0.42,1511.111111,4.8,32
4.04,0.36,1511.111111,19.1,32
4.215,0.5,1511.111111,19.2,32
2.19,0.78,1511.111111,6.7,32
2.805,0.61,1511.111111,14.6,32
3.5,0.55,1511.111111,14.2,32
3.845,0.23,1511.111111,15.4,32
2.545,0.33,1511.111111,13.1,32
3.015,0.6,1511.111111,15.6,32
3.48,0.38,1511.111111,18.5,32
2.265,0.37,1511.111111,9.5,32
3.55,0.38,1511.111111,18.3,32
2.265,0.35,1766.666667,11.9,33
2.24,0.49,1766.666667,13.2,33
2.485,0.43,1766.666667,14.7,33
0.9,0.25,1766.666667,5.9,33
1.45,0.36,1766.666667,9,33
1.31,0.41,1766.666667,14.7,33
3.085,0.64,1766.666667,15.1,33
3.615,0.52,1766.666667,17.3,33
4.35,0.36,1766.666667,18.7,33
2.23,0.25,1766.666667,10.6,33
3.165,0.43,1766.666667,12.6,33
2.84,0.4,1766.666667,11.3,33
1.77,0.45,1766.666667,7,33
2.66,0.51,1766.666667,9,33
3.49,0.4,1766.666667,18.8,33
3.21,0.45,1766.666667,13.3,33
3.245,0.4,1766.666667,16.8,33
2.085,0.38,1766.666667,6.5,33
2.675,0.37,1766.666667,11.4,33
3.215,0.53,1766.666667,14.2,33
2.295,0.04,1766.666667,14.8,33
1.51,0.14,1766.666667,9.5,33
2.795,0.25,1766.666667,12.7,33
2.475,0.3,1766.666667,10.5,33
4.135,0.61,1766.666667,19.9,33
1.715,0.39,1766.666667,7.1,33
1.925,0.31,1766.666667,10.2,33
2.365,0.4,1766.666667,10.9,33
3.07,0.56,1766.666667,14.1,33
2.855,0.44,1766.666667,15.9,33
2.785,0.54,1766.666667,13.2,33
3.295,0.49,1766.666667,14.6,33
1.785,0.68,1766.666667,6,33
2.725,0.54,1766.666667,15.3,33
2.305,0.29,1766.666667,7.6,33
2.425,0.31,1766.666667,6.9,33
3.4,0.44,1766.666667,11,33
2.875,0.26,1766.666667,8.6,33
3.795,0.62,1766.666667,15.6,33
1.3,0.19,1766.666667,7.2,33
2.32,0.32,1766.666667,13.7,33
3.69,0.6,1766.666667,19.4,33
4.5695,0.65,1766.666667,17.5,33
3.15,0.53,1766.666667,9.8,33
3.37,0.63,1766.666667,9.5,33
3.935,0.57,1766.666667,13.3,33
3.615,0.61,1766.666667,12,33
3.565,0.66,1766.666667,12.2,33
3.475,0.22,1766.666667,6.2,33
2.86,0.64,1766.666667,12.4,33
2.92,0.44,1766.666667,11.6,33
3.495,0.58,1766.666667,15.3,33
3.695,0.33,1766.666667,15.2,33
3.305,0.31,1766.666667,10.5,33
2.7,0.39,1766.666667,11.4,33
3.22,0.34,1766.666667,18.6,33
2.675,0.4,1766.666667,10.8,33
1.62,0.21,1766.666667,9.5,33
2.9,0.41,1766.666667,15.9,33
3.125,0.64,1766.666667,16.2,33
1.1,0.48,1766.666667,8.7,33
2.195,0.66,1766.666667,13.7,33
3.595,0.53,1766.666667,21,33
3.32,0.6,1766.666667,15.4,33
3.17,0.36,1766.666667,15.8,33
3.06,0.31,1766.666667,16.4,33
2.255,0.25,1766.666667,10.7,33
1.935,0.06,1766.666667,7.5,33
2.755,0.35,1766.666667,13.2,33
2.035,0.29,1766.666667,8.9,33
2.18,0.17,1766.666667,8.8,33
1.635,0.26,1766.666667,7.8,33
4.65,0.57,1766.666667,22.3,33
2.015,0.55,1766.666667,6.9,33
2.02,0.41,1766.666667,8.6,33
3.08,0.46,1766.666667,13.3,33
2.905,0.57,1766.666667,10.3,33
3.16,0.56,1766.666667,14.3,33
3.71,0.45,1766.666667,16,33
2.815,0.35,1766.666667,12.6,33
3.215,0.54,1766.666667,17.3,33
1.23,0.58,1766.666667,5.2,33
2.63,0.29,1766.666667,14.1,33
2.97,0.45,1766.666667,14.1,33
2.795,0.45,1766.666667,14.1,33
2.425,0.42,1766.666667,12.6,33
2.35,0.32,1766.666667,7.8,33
2.24,0.47,1766.666667,15.6,33
2.445,0.21,1766.666667,12.5,33
2.74,0.57,1766.666667,12.9,33
2.46,0.44,1766.666667,9.7,33
2.055,0.27,1766.666667,7.6,33
1.56,0.28,1766.666667,6.7,33
2.99,0.31,1766.666667,13.9,33
3.045,0.28,1766.666667,12.3,33
2.71,0.41,1766.666667,8.5,33
2.45,0.35,1766.666667,10.6,33
4.055,0.51,1766.666667,17.7,33
2.205,0.27,1766.666667,6.6,33
3.305,0.37,1766.666667,10.8,33
3.41,0.43,1766.666667,16.6,33
2.28,0.3,1766.666667,8.5,33
3.655,0.49,1766.666667,16.5,33
3.535,0.22,1766.666667,15.9,33
3.615,0.3,1766.666667,15.4,33
2.755,0.47,1766.666667,10.9,33
2.82,0.53,1766.666667,15.2,33
2.945,0.42,1766.666667,9.9,33
1.835,0.45,1766.666667,7,33
2.72,0.45,1766.666667,13.2,33
2.315,0.37,1766.666667,6,33
3.75,0.58,1766.666667,15.6,33
2.545,0.28,1766.666667,4.8,33
1.99,0.25,1766.666667,8.3,33
2.945,0.46,1766.666667,17.3,33
2.595,0.34,1766.666667,16,33
2.485,0.43,1766.666667,9.4,33
1.125,0.69,1766.666667,3.7,33
1.25,0.64,1766.666667,3.8,33
2.78,0.47,1766.666667,13.3,33
2.345,0.49,1766.666667,6.4,33
3.09,0.34,1766.666667,13.8,33
3.345,0.45,1766.666667,19.6,33
2.645,0.34,1766.666667,12.8,33
2.26,0.49,1766.666667,6,33
3,0.83,1733.333333,4.8,35
4.725,0.72,1733.333333,12.7,35
4.57,0.82,1733.333333,19,35
2.995,0.82,1733.333333,6.5,35
2.8,0.83,1733.333333,9,35
2.89,0.72,1733.333333,5.1,35
3.07,0.82,1733.333333,5.8,35
2.955,0.73,1733.333333,7.1,35
2.61,0.66,1733.333333,6,35
2.53,0.93,1733.333333,3.5,35
4.11,0.57,1088.888889,15,36
5.245,0.16,1088.888889,16.6,36
5.15,0.55,1088.888889,18.9,36
2.605,0.8,1644.444444,6.9,37
2.575,0.76,1644.444444,2.9,37
2.29,0.65,1644.444444,4.3,37
2.615,0.72,1644.444444,5.4,37
3.14,0.82,1644.444444,7.9,37
1.625,0.48,1644.444444,3.1,37
1.51,0.56,1644.444444,3.2,37
1.985,0.73,1644.444444,3.3,37
1.815,0.5,1644.444444,3.5,37
1.73,0.45,1644.444444,2.7,37
1.94,0.56,1644.444444,3.3,37
2.075,0.61,1644.444444,5,37
2.065,0.45,1644.444444,4.4,37
1.98,0.69,1644.444444,4.3,37
2.165,0.73,1644.444444,5.6,37
2.245,0.61,1644.444444,5.9,37
1.89,0.46,1644.444444,4.3,37
2.045,0.46,1644.444444,3.7,37
2.025,0.86,1644.444444,4.1,37
2.165,0.83,1644.444444,3.6,37
2.355,0.85,1644.444444,3.6,37
1.715,0.79,1644.444444,4.8,37
1.905,0.64,1644.444444,2.7,37
2.21,0.78,1644.444444,3.7,37
2.135,0.62,1644.444444,5,37
2.855,0.66,1644.444444,3.8,37
1.99,0.73,1644.444444,3.1,37
1.7,0.83,1644.444444,2.9,37
2.04,0.7,1644.444444,4.1,37
1.84,0.5,1644.444444,2.6,37
1.82,0.53,1644.444444,3.6,37
2.48,0.69,1644.444444,5.3,37
2.305,0.62,1644.444444,5.1,37
2.545,0.46,1644.444444,3.7,37
2.24,0.69,1644.444444,4.2,37
2.545,0.68,1644.444444,3.7,37
2.225,0.83,1644.444444,3,37
2.055,0.8,1644.444444,3.2,37
2.295,0.79,1644.444444,4,37
2.075,0.87,1644.444444,3.9,37
2.225,0.89,1644.444444,3,37
1.545,0.74,1644.444444,2.9,37
1.715,0.68,1644.444444,3.8,37
2.4,0.62,1644.444444,5,37
2.94,0.65,1644.444444,6,37
2.925,0.67,1644.444444,5.2,37
2.385,0.64,1644.444444,3.6,37
2.34,0.56,1644.444444,3.3,37
1.68,0.59,1644.444444,2.8,37
2.245,0.53,1644.444444,3.3,37
2.48,0.68,1644.444444,3.7,37
2.485,0.71,1644.444444,3.5,37
2.685,0.7,1644.444444,4,37
2.285,0.58,1644.444444,4,37
2.515,0.59,1644.444444,4.5,37
2.515,0.5,1644.444444,3.9,37
2.19,0.61,1644.444444,2.9,37
2.91,0.7,1644.444444,6.9,37
1.92,0.48,1644.444444,3.6,37
1.475,0.79,1644.444444,3.2,37
1.94,0.55,1644.444444,5.2,37
2.025,0.7,1644.444444,3.2,37
2.205,0.66,1644.444444,4.8,37
2.245,0.71,1644.444444,4.5,37
5.25,0.92,1644.444444,21.5,37
4.78,0.9,1644.444444,18.6,37
2.155,0.77,1644.444444,4.4,37
2.155,0.77,1644.444444,4.4,37
3.175,0.9,1644.444444,11.4,37
3.33,0.67,1644.444444,7.2,37
1.925,0.85,1644.444444,3.7,37
1.625,0.53,1644.444444,5.6,37
1.925,0.71,1644.444444,6.3,37
2.425,0.8,1644.444444,4,37
2.375,0.78,1644.444444,4.5,37
2.25,0.74,1644.444444,5.6,37
1.98,0.73,1644.444444,3.6,37
2.175,0.87,1644.444444,2.8,37
2.295,0.91,1644.444444,4.4,37
2.545,0.89,511.1111111,5.3,40
2.105,0.95,1522.222222,3.3,41
2.24,0.87,1522.222222,2.9,41
3.585,0.81,1522.222222,10.8,41
4.455,0.78,1522.222222,15.4,41
4.825,0.91,1522.222222,13.7,41
4.61,0.98,1522.222222,12.5,41
3.185,0.8,1522.222222,11.6,41
1.945,0.87,1522.222222,5.6,41
2.95,0.83,1522.222222,13.6,41
2.7,0.76,1522.222222,11.6,41
2.03,0.79,1522.222222,2.6,41
2.715,0.85,1522.222222,5.2,41
3.05,0.89,1522.222222,7.6,41
3.515,0.8,1522.222222,7.2,41
2.32,0.89,1522.222222,3.2,41
2.33,0.7,1522.222222,3.2,41
2.385,0.88,1522.222222,2.5,41
3.61,0.85,522.2222222,24.8,43
3.785,0.81,522.2222222,23,43
1.86,0.77,1977.777778,3.2,44
3.615,0.65,1977.777778,11.4,44
2.61,0.4,1977.777778,9.6,44
3.75,0.88,1977.777778,8.9,44
3,0.71,1022.222222,12.8,48
3.55,0.71,1022.222222,19.8,48
3.45,0.51,1022.222222,17.9,48
3.5,0.56,1022.222222,16.1,48
2.8,0.65,1022.222222,13.3,48
3.65,0.74,1022.222222,14.8,48
2.35,0.44,1022.222222,6.3,48
3.45,0.59,1022.222222,18.6,48
2.85,0.53,1022.222222,17.6,48
2.95,0.69,1022.222222,12,48
2.65,0.53,1022.222222,11.5,48
2.45,0.6,1022.222222,11,48
3.9,0.71,1022.222222,18.2,48
3.55,0.66,1022.222222,17.5,48
2.8,0.68,1022.222222,14.1,48
2.35,0.22,1022.222222,3.8,48
2.8,0.57,1022.222222,8.1,48
2.6,0.38,1022.222222,6.8,48
4.5,0.59,1022.222222,23.8,48
3.65,0.56,1022.222222,16.2,48
2.55,0.55,1022.222222,6.5,48
3.35,0.69,1022.222222,12.4,48
2.95,0.45,1022.222222,8.6,48
2.55,0.17,1022.222222,4.2,48
4,0.61,1022.222222,13.7,48
3.15,0.83,1022.222222,9.8,48
4.3,0.76,1022.222222,25.3,48
2.7,0.66,1022.222222,6.1,48
3.7,0.7,1022.222222,22,48
3.1,0.51,1022.222222,8.4,48
5.8,0.77,1022.222222,32.1,48
2.895,0.46,1022.222222,11.9,48
4.015,0.53,1022.222222,24.7,48
3.5,0.65,1022.222222,14.9,48
2.795,0.67,1022.222222,10.5,48
3.075,0.67,1022.222222,14.2,48
3.12,0.49,1022.222222,8.1,48
4.705,0.7,1022.222222,22.7,48
3.56,0.68,1022.222222,16.5,48
3.105,0.57,1022.222222,10.5,48
4.47,0.59,1022.222222,14.4,48
4.395,0.33,1022.222222,13.1,48
3.875,0.62,1022.222222,16.9,48
4.465,0.65,1022.222222,23.6,48
4.905,0.6,1022.222222,25.1,48
5.355,0.56,1022.222222,26.8,48
4.1,0.65,1022.222222,23.5,48
4.885,0.56,1022.222222,22.5,48
3.205,0.66,1022.222222,13.4,48
2.39,0.51,1022.222222,9.6,48
3.78,0.56,1022.222222,21.7,48
3.24,0.48,1022.222222,6,48
5.46,0.61,1022.222222,28.5,48
2.99,0.76,1022.222222,9.8,48
3.89,0.54,1022.222222,18.5,48
1.71,0.58,1022.222222,3.5,48
1.835,0.56,1022.222222,4.6,48
5.34,0.62,1022.222222,26.3,48
5.02,0.59,1022.222222,25.6,48
5.475,0.75,1022.222222,33.1,48
4.88,0.57,1022.222222,31.2,48
4.085,0.5,1022.222222,18.4,48
3.515,0.64,1022.222222,7.3,48
3.31,0.55,1022.222222,16.7,48
3.41,0.52,1022.222222,9,48
4.865,0.6,1022.222222,29.8,48
3.425,0.53,1022.222222,14.4,48
2.76,0.44,1022.222222,6.1,48
3.875,0.69,1022.222222,23.1,48
3.08,0.49,1022.222222,6.8,48
3.505,0.53,1022.222222,28.6,48
3.245,0.59,1022.222222,12.3,48
3.565,0.69,1022.222222,16,48
3.45,0.63,1022.222222,18.9,48
4.185,0.68,1022.222222,24.5,48
3.7,0.71,588.8888889,14.4,49
3.15,0.56,588.8888889,9.4,49
6.65,0.78,588.8888889,25,49
6.35,0.68,588.8888889,18.6,49
7.5,0.72,588.8888889,18.6,49
5.2,0.84,588.8888889,13.2,49
5.5,0.61,588.8888889,21.4,49
6.25,0.7,588.8888889,17.5,49
1.8,0.79,588.8888889,5.2,49
5.3,0.8,588.8888889,14.8,49
5.7,0.78,588.8888889,20.1,49
3.2,0.66,588.8888889,8,49
2.65,0.52,588.8888889,3.5,49
6.2,0.77,588.8888889,18.4,49
5.35,0.6,588.8888889,13.5,49
4.45,0.81,588.8888889,17.1,49
6.8,0.75,588.8888889,24.7,49
5,0.62,588.8888889,23.6,49
3.35,0.6,588.8888889,15,49
2.65,0.52,588.8888889,10.5,49
4.85,0.79,588.8888889,15.5,49
3.25,0.67,588.8888889,10.2,49
4.5,0.7,588.8888889,12.9,49
4,0.67,588.8888889,14.1,49
3,0.77,588.8888889,14.9,49
5.45,0.71,588.8888889,14.2,49
5.65,0.79,588.8888889,15.2,49
5.4,0.79,588.8888889,20.2,49
4.05,0.61,588.8888889,9.6,49
7,0.82,588.8888889,16.3,49
4.45,0.71,588.8888889,9.1,49
4.65,0.81,588.8888889,14.6,49
5.35,0.74,588.8888889,15.1,49
4.85,0.67,588.8888889,17.8,49
4.85,0.81,588.8888889,15.2,49
6.55,0.68,588.8888889,14.4,49
5.55,0.84,588.8888889,31.5,49
5.25,0.74,588.8888889,19.7,49
4.85,0.55,588.8888889,16,49
3.25,0.51,588.8888889,9.5,49
3.2,0.63,588.8888889,7.4,49
4.1,0.64,588.8888889,7.2,49
2.4,0.6,588.8888889,5.3,49
5.2,0.81,588.8888889,15.7,49
3.8,0.69,588.8888889,9.1,49
7.2,0.75,588.8888889,18.5,49
6.15,0.84,588.8888889,22.1,49
3.95,0.71,588.8888889,10.1,49
5.4,0.7,588.8888889,18.2,49
6.55,0.81,588.8888889,20.3,49
3.55,0.52,588.8888889,14.7,49
6.35,0.73,588.8888889,15.6,49
3.15,0.66,1511.111111,8.1,50
2.45,0.51,1511.111111,6.5,50
5.5,0.79,1511.111111,19,50
2.15,0.63,1511.111111,5.1,50
4.35,0.71,1511.111111,13.6,50
1.15,0.64,1511.111111,2.6,50
3.15,0.75,1511.111111,5.8,50
4.85,0.79,1511.111111,16.5,50
2.05,0.59,1511.111111,4.6,50
4.6,0.45,1511.111111,16.5,50
2.25,0.51,1511.111111,5,50
2.9,0.43,1511.111111,5.4,50
5.35,0.59,1511.111111,20.6,50
3.25,0.55,1511.111111,10.6,50
4.35,0.55,1511.111111,11.7,50
3.4,0.37,1511.111111,12.3,50
4.25,0.85,1511.111111,26.7,50
3.95,0.56,1511.111111,7.9,50
4.35,0.71,1511.111111,16.8,50
3.9,0.67,1511.111111,14.6,50
4.15,0.73,1511.111111,18.9,50
3.1,0.55,1511.111111,8.1,50
1.75,0.31,1511.111111,3.4,50
1.3,0.27,1511.111111,3,50
4.55,0.75,1511.111111,16.7,50
3.45,0.7,1511.111111,8.3,50
7.3,0.79,1511.111111,28.2,50
5.35,0.88,1511.111111,19.4,50
4.25,0.84,1511.111111,18.3,50
5.45,0.85,1511.111111,19.6,50
3.39,0.73,1511.111111,11.8,50
3.35,0.81,1511.111111,13.2,50
2.65,0.54,1511.111111,9,50
7.45,0.78,1511.111111,24.4,50
4.8,0.72,1511.111111,17.1,50
6.75,0.82,1511.111111,31.3,50
4.45,0.57,1511.111111,12.9,50
5.55,0.81,1511.111111,16.3,50
5.65,0.7,1511.111111,16,50
5.65,0.63,1511.111111,16.7,50
5.7,0.68,1511.111111,14.7,50
4.75,0.52,1511.111111,17.2,50
2.1,0.59,1511.111111,5.8,50
2.8,0.56,1511.111111,7,50
2.95,0.45,1511.111111,8.5,50
1.6,0.51,1511.111111,4.1,50
4.6,0.71,1511.111111,15.9,50
2.5,0.57,1511.111111,6.5,50
2.8,0.61,1511.111111,13.1,50
4.85,0.73,1511.111111,21.7,50
3.4,0.48,1511.111111,8.9,50
2.8,0.41,1511.111111,4,50
3.25,0.69,1511.111111,8.2,50
3.75,0.73,1511.111111,8.9,50
4.35,0.64,1511.111111,23.6,50
5,0.7,1511.111111,17.4,50
6.25,0.55,1511.111111,12.6,50
6.75,0.56,1511.111111,14.2,50
5.1,0.64,1511.111111,13.7,50
4.35,0.61,1511.111111,11.2,50
1.5,0.46,1511.111111,3.5,50
2.05,0.37,1511.111111,6.6,50
2.2,0.39,1511.111111,6.8,50
5.95,0.85,1511.111111,22.6,50
4.25,0.77,1511.111111,11.6,50
4.5,0.67,1511.111111,13.6,50
1.45,0.51,1511.111111,6.4,50
6.35,0.7,1511.111111,19.3,50
4.8,0.62,1511.111111,10.4,50
2.2,0.58,1511.111111,10.3,50
3.05,0.73,1511.111111,7.9,50
6.35,0.56,1511.111111,17.5,50
6.35,0.82,1511.111111,22.6,50
2.6,0.64,1511.111111,5.2,50
