d,h,hdo,den,dhdo,num
4.2,4.2,10.1,1522,42.42,
7.5,4.4,10.1,1522,75.75,
14.8,10.5,13.1,811,193.88,
13.2,11.7,15.1,1656,199.32,
17.1,13.4,14.1,556,241.11,
10.3,8.7,14,2333,144.2,
17.5,14.2,16.1,1656,281.75,
5.8,3,6,1322,34.8,
20.4,14.2,17.7,889,361.08,
12.7,14.1,21.5,1667,273.05,
22,15,16.3,1556,358.6,
16.4,12.3,18.8,1233,308.32,
18.4,12.2,13.2,2122,242.88,
18.2,12.4,13.4,778,243.88,
13,11.6,15.1,1067,196.3,
12,8.1,14,2333,168,
22.1,17.8,20.3,1011,448.63,
9.4,5.4,15.1,1067,141.94,
3.2,3.3,6.2,1311,19.84,
17.2,8.8,15.7,422,270.04,
15.6,12.8,16.6,1656,258.96,
10.2,6.3,15.7,422,160.14,
20.7,15.8,17.3,1122,358.11,
15,13.5,17.7,2278,265.5,
18.1,12.5,13.4,778,242.54,
8.6,5.6,6,1322,51.6,
14.7,11,16.2,1678,238.14,
19.1,14.1,15.1,1656,288.41,
13.8,13.4,16.2,1156,223.56,
3.5,2.7,6.1,722,21.35,
22.2,17.5,22.4,867,497.28,
21.8,12.6,16.6,1656,361.88,
6.9,5.9,6.4,911,44.16,
15.4,12.5,15.1,1067,232.54,
6.8,4,6,600,40.8,
14.2,9.6,13.2,2122,187.44,
20,14.4,16.3,1556,326,
13.9,10.4,14.4,1689,200.16,
14.7,12.8,14.8,1967,217.56,
17.2,15.8,17.2,1778,295.84,
21.8,19,21.2,967,462.16,
7.3,3.9,6.9,1356,50.37,
16.1,7.8,7.8,989,125.58,
15.2,6.6,7.8,989,118.56,
20.4,13.9,15.1,1656,308.04,
20.8,18.5,22.4,867,465.92,
20.7,17.5,21.5,1667,445.05,
10.6,7.6,15.7,422,166.42,
8,5.4,6.9,1356,55.2,
16.4,15.8,18.8,1233,308.32,
17.4,14,17.7,2278,307.98,
8.3,4.3,14,2333,116.2,
3.7,3.8,5.7,533,21.09,
18.3,12.3,15.8,1522,289.14,
4,3.2,9.7,1644,38.8,
21.8,13.8,14.1,556,307.38,
4.4,3.3,4.9,689,21.56,
17.4,21.3,22.4,867,389.76,
6.1,5.3,7.1,1044,43.31,
14.8,14.9,21.2,967,313.76,
15.1,13.2,15.1,1656,228.01,
5,5.6,18.8,1233,94,
3.6,5.1,6,1322,21.6,
15,12.1,15.1,1067,226.5,
6.9,5.2,6.4,911,44.16,
18.3,14.3,16.5,1356,301.95,
15.5,13.3,15.1,1656,234.05,
15.6,16,17.3,1122,269.88,
16.9,12.9,15.1,1411,255.19,
3.6,3.1,4.9,689,17.64,
8.6,6.9,13.9,767,119.54,
5.3,5.6,10.1,1522,53.53,
4.2,4.3,5.4,1133,22.68,
11.4,5.3,9.7,1644,110.58,
20.5,12,13.2,2122,270.6,
9,6.5,10.1,1522,90.9,
15.2,11.6,15.1,1656,229.52,
13.4,12.6,14.8,1967,198.32,
21.9,15.2,16.5,1356,361.35,
19.4,15.1,17.2,1778,333.68,
4.1,3.8,6.1,722,25.01,
21.2,14.1,16.1,689,341.32,
13.2,9.6,16.2,1678,213.84,
8.6,6.5,7.1,1044,61.06,
23.8,13,14.8,1967,352.24,
11.2,11.3,17.7,2278,198.24,
15.9,7.1,10.1,1522,160.59,
8.8,4.8,7.2,1733,63.36,
13.1,9.4,14,2333,183.4,
5.7,2.1,6.9,1356,39.33,
8.3,11.7,13.2,2122,109.56,
10.7,6.4,7.2,1733,77.04,
18.7,14.9,16.6,1467,310.42,
18.9,11.9,15.1,589,285.39,
31,19.7,21.5,1667,666.5,
3.1,5.7,6.4,911,19.84,
23.6,17.5,20.3,1011,479.08,
13.4,17.9,18.8,1233,251.92,
6.4,4,5.4,1133,34.56,
9,9.2,14.8,1967,133.2,
14.5,8.9,10.4,500,150.8,
29.3,19.8,21.2,967,621.16,
11.6,12.9,15.1,1656,175.16,
5.4,4.4,6.9,1356,37.26,
7,4.7,6,600,42,
9.5,9.2,14.8,1967,140.6,
12,5.4,14.6,789,175.2,
5.4,4.3,6.9,1356,37.26,
7,10.4,14,2333,98,
9.2,5.2,6.8,767,62.56,
10.5,5.8,7.2,1733,75.6,
8.1,5.8,6.8,767,55.08,
22.6,13.5,15.1,589,341.26,
7.6,5,6.8,767,51.68,
9.6,9.9,16.2,1156,155.52,
8.3,8.3,17.7,2278,146.91,
15.6,12.6,16.1,1656,251.16,
13.3,12.4,14.4,1689,191.52,
15.1,11.5,14.8,1022,223.48,
8,6.6,18.8,1233,150.4,
9.9,11.6,13.2,2122,130.68,
15.2,12.4,14.4,1689,218.88,
6.7,12.5,13.4,778,89.78,
10.7,6.2,15.7,422,167.99,
21.9,14.8,17.3,1122,378.87,
5.9,4.1,14,2333,82.6,
5.1,4.5,4.9,689,24.99,
20.4,12.9,16.2,1156,330.48,
6.3,9.6,14.1,2200,88.83,
14.1,6.7,14.8,1022,208.68,
15.3,13.7,14.5,978,221.85,
18.7,15.2,16.5,1356,308.55,
13.9,11.4,13.1,811,182.09,
13.1,12.4,15.1,1656,197.81,
15.6,13.1,14.5,978,226.2,
16.1,9.9,13.1,811,210.91,
22,14.6,14.6,789,321.2,
6.7,3.5,10.4,500,69.68,
25.5,16,20.5,722,522.75,
14,10.2,14.8,1967,207.2,
22.7,12.9,15.1,589,342.77,
12.1,13.5,15.8,1522,191.18,
15.6,11.7,14.8,1967,230.88,
23.3,16.5,21.5,1667,500.95,
21.1,10.9,19.6,789,413.56,
14.6,6.7,14,2333,204.4,
13.8,12.4,16.3,1556,224.94,
13.8,12.3,14.4,1689,198.72,
14.8,15.7,16.2,1678,239.76,
16.7,18.6,22.4,867,374.08,
19,13.9,16.3,1556,309.7,
13,14.9,21.5,1667,279.5,
25.5,17.6,21.5,1667,548.25,
23.7,16.6,18.8,1233,445.56,
6.9,5.1,5.7,533,39.33,
22.2,12.5,16.1,689,357.42,
18.2,12.6,14.4,1689,262.08,
6.7,5.1,10.1,1522,67.67,
15,7.8,7.8,989,117,
17.2,10.8,13.4,778,230.48,
18.6,10.2,14.5,978,269.7,
20,12.8,13.9,767,278,
15,14,18.8,1233,282,
5.4,3.5,14,2333,75.6,
5.4,4.3,7.2,1733,38.88,
15.9,10.7,14.6,789,232.14,
7.4,4.3,6,1322,44.4,
14.1,13.9,15.1,1656,212.91,
17.7,12.2,14.8,1967,261.96,
9.5,12.7,21.5,1667,204.25,
24.7,20.6,18.8,1233,464.36,
9.7,10.3,13.2,2122,128.04,
12.9,11.2,14.8,1967,190.92,
4.5,4,6.1,722,27.45,
14.4,9,14,2333,201.6,
7.7,5.4,6,1322,46.2,
7.9,6.6,7.2,1733,56.88,
8.3,5.5,15.1,1411,125.33,
20.2,13.6,16.6,1467,335.32,
18.9,14.4,16.2,1678,306.18,
17.8,14.1,16.6,1656,295.48,
21.1,12.4,16.1,689,339.71,
8.5,13.1,17.3,1122,147.05,
32.3,22.9,22.4,867,723.52,
4.1,5.6,15.8,1522,64.78,
8.4,5.3,10.1,1522,84.84,
12,10.8,14.8,1967,177.6,
9.8,5.3,6.9,1356,67.62,
4.3,3.3,5.4,1133,23.22,
3.6,4.3,6.2,1311,22.32,
21.3,13.1,17.3,1122,368.49,
25,17.7,20.3,1011,507.5,
15.1,13.8,17.7,2278,267.27,
25,20.9,21.2,967,530,
22.7,15.3,16.6,1656,376.82,
17.2,10.9,14.8,1967,254.56,
18.3,10.4,14.1,556,258.03,
22.2,14.2,15.1,589,335.22,
16.3,15.7,21.5,1667,350.45,
20.6,15.8,18.8,1233,387.28,
6.2,7.1,13.2,2122,81.84,
8.3,5.6,6,1322,49.8,
26.5,17.8,21.5,1667,569.75,
14.1,10.1,14.5,978,204.45,
10.7,10.3,16.2,1678,173.34,
6.5,4,6,1322,39,
8.3,4.4,6,600,49.8,
17,12.3,13.4,778,227.8,
6.9,5.1,7.2,1733,49.68,
11.8,7.6,14,2333,165.2,
20.1,13.6,15.1,1411,303.51,
4.5,4.3,6,1322,27,
28.2,9.3,19.6,789,552.72,
19,10.5,15.7,422,298.3,
11.1,6.9,15.1,1656,167.61,
24.1,19.1,22.4,867,539.84,
15.9,10.7,22.4,867,356.16,
12.6,11.2,14,2333,176.4,
8.4,4.1,6.1,722,51.24,
18.7,14.7,16.2,1678,302.94,
19.1,12.3,15.1,1067,288.41,
17.5,19.5,20.3,1011,355.25,
4.5,4.9,7.2,1733,32.4,
18.9,13.1,15.1,1656,285.39,
18.6,16.1,17.7,2278,329.22,
10.2,13.3,17.3,1122,176.46,
8.5,11.5,17.7,2278,150.45,
13.8,11.9,15.8,1522,218.04,
18.4,15.2,16.2,1156,298.08,
19.4,13.8,21.5,1667,417.1,
12.9,10.9,15.1,1411,194.79,
17.4,11.7,16.2,1156,281.88,
9.7,5,6,600,58.2,
3.3,2,7.8,989,25.74,
8.9,5.7,13.1,811,116.59,
7.5,5,6.9,1356,51.75,
18.5,14.8,21.5,1667,397.75,
16.9,16.6,15.1,1067,255.19,
12.4,10.2,13.2,2122,163.68,
3.5,3.2,4.9,689,17.15,
11.5,5.5,16.1,689,185.15,
10.8,13,16.2,1678,174.96,
6.3,5.2,7.2,1733,45.36,
4.5,4.3,7.1,1044,31.95,
20.7,14.2,16.2,1156,335.34,
10.3,6.4,14,2333,144.2,
10.2,8.4,17.7,2278,180.54,
12,11.7,17.7,2278,212.4,
10.3,9.1,16.2,1678,166.86,
16.7,14.7,16.6,1467,277.22,
18.3,13.6,17.7,2278,323.91,
16.8,13.3,15.7,1022,263.76,
12,9.1,10.1,1522,121.2,
21.7,13.1,15.1,589,327.67,
13.5,13.2,13.1,811,176.85,
8.9,5.6,6.8,767,60.52,
23,15.9,21.5,1667,494.5,
4,3.9,6,1322,24,
27,16.3,21.5,1667,580.5,
7.8,14.6,21.5,1667,167.7,
5.6,4.8,7.1,1044,39.76,
7.6,7.2,14,2333,106.4,
11.4,13.4,16.2,1156,184.68,
11.8,8.4,13.9,767,164.02,
14.5,13.7,16.5,1356,239.25,
19.5,12.2,15.1,1067,294.45,
7,7.6,16.1,1656,112.7,
21,17.2,21.5,1667,451.5,
14.7,14.1,16.6,1656,244.02,
8.1,4.4,5.4,1133,43.74,
5.7,3.5,5.4,1133,30.78,
16.6,14,16.2,1156,268.92,
13.8,11.6,14.4,1689,198.72,
19.2,13,18.8,1233,360.96,
19.1,12.7,15.7,422,299.87,
25.7,19.3,22.4,867,575.68,
20.2,10.2,13.9,767,280.78,
12.2,11.8,16.5,1356,201.3,
24.9,19.8,21.2,967,527.88,
5.1,6.9,14.8,1022,75.48,
17.5,10.5,14,2333,245,
14.4,12.3,14.4,1689,207.36,
35.1,16.7,22.4,867,786.24,
23.3,15.3,15.1,589,351.83,
16.3,16.2,20.3,1011,330.89,
18,8.9,13.1,811,235.8,
5.1,3.8,7.1,1044,36.21,
16.6,13.6,15.1,1656,250.66,
18.9,15.6,17.7,889,334.53,
8.2,5.1,6.4,911,52.48,
7,3.9,5.4,1133,37.8,
13.7,11,13.2,2122,180.84,
15.7,9.7,14,2333,219.8,
13.4,7,16.1,689,215.74,
3.5,3.9,16.6,1656,58.1,
23.3,15.4,16.3,1556,379.79,
14.7,10.4,13.1,811,192.57,
13.3,8.7,16.2,1678,215.46,
20.9,13.8,18.8,1233,392.92,
16,15.3,16.6,1656,265.6,
18.5,11.2,13.9,767,257.15,
3.2,3.3,14.8,1022,47.36,
5.8,7.4,14,2333,81.2,
8.6,8.5,17.7,2278,152.22,
21.1,13.5,18.8,1233,396.68,
15.1,12.8,14.4,1689,217.44,
8.3,5,5.7,533,47.31,
20.7,16.6,17.3,1122,358.11,
14.8,12.8,14.8,1967,219.04,
6.3,5.3,5.7,533,35.91,
18.2,15.7,20.5,722,373.1,
10.8,11.7,20.5,722,221.4,
5.2,4.9,7.2,1733,37.44,
4.1,2.7,4.9,689,20.09,
18.3,13.3,14.4,1689,263.52,
14.2,11.5,15.1,1411,214.42,
16.3,12.7,15.1,589,246.13,
4,4.3,6.9,1356,27.6,
15.9,12.1,16.2,1678,257.58,
28.3,17.7,21.5,1667,608.45,
11,6.5,6.8,767,74.8,
17.8,12.5,14.8,1022,263.44,
15.9,12.9,15.1,1656,240.09,
14.1,12.4,15.1,1656,212.91,
11.3,7,14,2333,158.2,
11.5,7,10.4,500,119.6,
4.3,2.9,15.1,1411,64.93,
21.7,18.7,20.3,1011,440.51,
10.1,11.1,10.4,500,105.04,
10.2,7.1,10.4,500,106.08,
10,6.6,13.1,811,131,
7.3,8.5,14,2333,102.2,
15.5,10.2,13.1,811,203.05,
20,12.6,14.1,556,282,
20.4,15.5,17.3,1122,352.92,
22.7,15.1,22.4,867,508.48,
20.9,13.2,17.7,889,369.93,
16.5,12,14.4,1689,237.6,
9.4,8,14,2333,131.6,
19.6,18.2,21.5,1667,421.4,
15.8,11,15.8,1522,249.64,
6.1,4.6,6.8,767,41.48,
3.5,2.9,15,1956,52.5,
4.3,4.5,7.1,1044,30.53,
5.7,5.8,14,2333,79.8,
6.5,6.4,17.7,2278,115.05,
20.7,18.6,22.4,867,463.68,
5.9,4.4,4.9,689,28.91,
6.3,5.1,16.2,1678,102.06,
11.1,12.5,16.2,1678,179.82,
14.5,11.8,13.2,2122,191.4,
12.9,11.9,17.3,1122,223.17,
3.1,3.7,6.9,1356,21.39,
17.9,19.3,20.3,1011,363.37,
27.1,17.4,22.4,867,607.04,
14.5,6.7,7.8,989,113.1,
27.2,16,17.7,889,481.44,
5.8,3.3,9.7,1644,56.26,
3,1.9,9.7,1644,29.1,
4.7,3.3,5.4,1133,25.38,
7.1,5.4,7.2,1733,51.12,
14.8,13.4,14.4,1689,213.12,
17.7,11.3,14.8,1967,261.96,
19,13.7,15.1,1411,286.9,
26.4,14.8,16.5,1356,435.6,
16.5,12.1,17.7,2278,292.05,
19.5,11.1,13.4,778,261.3,
7.4,10.2,14.1,2200,104.34,
18.7,13.3,15.8,1522,295.46,
6.4,5.7,6.8,767,43.52,
17.3,12.6,14.8,1967,256.04,
25.1,13.6,17.7,889,444.27,
19.2,12.6,16.2,1156,311.04,
12.4,11.3,13.2,2122,163.68,
3.2,4,6,1322,19.2,
7.7,5.5,14.5,978,111.65,
4.4,4.2,7.2,1733,31.68,
6.6,5.5,7.1,1044,46.86,
15.6,12.4,15.1,1656,235.56,
3.4,2.6,4.9,689,16.66,
5.2,4.2,6.4,911,33.28,
17.7,12.6,15.1,1067,267.27,
10.2,11.7,16.6,1656,169.32,
16.3,13.4,15.1,1411,246.13,
18.4,8.2,14.1,2200,259.44,
4.7,3.4,6.1,722,28.67,
11.6,12.4,13.4,778,155.44,
5.8,6.6,14,2333,81.2,
18.9,14.7,15.1,1067,285.39,
9.5,6.1,6.8,767,64.6,
14.4,10.9,14.4,1689,207.36,
16.2,12.3,14.4,1689,233.28,
20.4,16.5,20.3,1011,414.12,
3.2,5.5,14,2333,44.8,
20,11.7,15.1,1656,302,
12.8,9.5,16.6,1656,212.48,
22.6,19.9,21.2,967,479.12,
12.4,8.4,15.1,1411,187.24,
11,11.3,14,2333,154,
6.7,4.5,6.9,1356,46.23,
17,13.2,13.2,2122,224.4,
3.4,3.9,9.7,1644,32.98,
8.7,8.7,14,2333,121.8,
15.6,13.9,14,2333,218.4,
4.4,4.8,17.7,2278,77.88,
7.2,5.8,6.4,911,46.08,
18.4,13.7,16.2,1156,298.08,
11.2,13.4,16.3,1556,182.56,
14.5,13.8,16.6,1656,240.7,
13.3,13.7,16.3,1556,216.79,
22.6,8.7,14.6,789,329.96,
2.5,4.5,5.7,533,14.25,
16,13.3,14.5,978,232,
2.6,3.1,7.2,1733,18.72,
14.3,5.9,9.7,1644,138.71,
15,12.7,14.8,1967,222,
6.7,5,6.9,1356,46.23,
23,14.3,15.1,589,347.3,
22.3,13.6,15.1,589,336.73,
8.6,5.3,6.4,911,55.04,
16.8,12.9,15.1,1656,253.68,
9.9,6.5,10.1,1522,99.99,
5.7,5.1,6.4,911,36.48,
12.6,11.7,15.1,1656,190.26,
19.8,13,15.1,1067,298.98,
16.4,12.8,15.1,1656,247.64,
3.2,2.8,5.4,1133,17.28,
15.3,12.1,13.2,2122,201.96,
6.9,5,6.9,1356,47.61,
28.3,10.7,14.8,1022,418.84,
15,12.3,14.4,1689,216,
14.6,15.8,16.2,1156,236.52,
7.4,8.9,14,2333,103.6,
10.2,6.4,7.1,1044,72.42,
17.5,14.4,16.3,1556,285.25,
15.3,13.1,14.4,1689,220.32,
18,12.7,15.1,1067,271.8,
15.1,12.5,15.1,1656,228.01,
30.7,23.6,22.4,867,687.68,
12.7,11.7,16.2,1678,205.74,
15.6,9.4,14,2333,218.4,
6.1,5.5,7.2,1733,43.92,
7.3,5.3,6.8,767,49.64,
13.5,14.7,21.2,967,286.2,
3.4,2.8,5.4,1133,18.36,
16.9,11.8,14.8,1022,250.12,
8.8,5.2,6.4,911,56.32,
14.7,12.1,15.7,422,230.79,
4.7,4.2,7.8,989,36.66,
12.1,7.1,15.7,422,189.97,
17.4,11.7,17.3,1122,301.02,
10.2,9.4,16.5,1356,168.3,
6.8,7.3,14,2333,95.2,
8.1,6,6,1322,48.6,
22.6,16.9,16.5,1356,372.9,
14,11.3,13.4,778,187.6,
7,6.1,17.3,1122,121.1,
16.3,9.7,13.9,767,226.57,
17.2,13.6,16.6,1656,285.52,
9.3,5.6,6.4,911,59.52,
18.9,12.7,14.4,1689,272.16,
4.2,4.5,6,600,25.2,
10.6,10.4,14,2333,148.4,
14.6,12.4,15.1,1656,220.46,
3.2,4,6,1322,19.2,
22.6,17.7,21.5,1667,485.9,
4,5.6,6.8,767,27.2,
13.8,7.1,10.1,1522,139.38,
27.3,13.5,19.6,789,535.08,
3.5,5.4,13.2,2122,46.2,
21.1,15.7,15.1,1411,318.61,
15,11.7,14.4,1689,216,
8.6,7.9,16.5,1356,141.9,
15.3,10.6,14,2333,214.2,
21.6,12.8,16.5,1356,356.4,
9.5,5,6.9,1356,65.55,
15.1,12.4,16.2,1156,244.62,
12.5,13.6,16.5,1356,206.25,
8.3,9.4,17.7,2278,146.91,
10.2,6.1,6.1,722,62.22,
9,5.7,5.4,1133,48.6,
16.9,10.9,16.2,1156,273.78,
11.8,11.4,15.1,1656,178.18,
18.5,12.5,21.5,1667,397.75,
20.5,17,21.5,1667,440.75,
10.5,9.1,10.4,500,109.2,
19.7,14.2,16.2,1156,319.14,
9.7,4.7,6,600,58.2,
17.3,13.4,16.6,1467,287.18,
22,18.9,21.2,967,466.4,
8.4,7,14,2333,117.6,
16.4,14.1,17.7,2278,290.28,
7.4,5.7,5.7,533,42.18,
6.8,5.7,6,600,40.8,
